birth,deltactcf,sep,occupancy,relative
0.1,900,1000,0.5,2.6424370259197665
0.3,1000,1000,0.5,4.376158581963331
0.3,100,1000,0.5,1.270458911204755
0.3,1100,1000,0.5,3.6693277431582576
0.3,1300,1000,0.5,4.239278477228183
0.3,1500,1000,0.5,5.914666909521424
0.3,150,1000,0.5,1.317241101626671
0.3,200,1000,0.5,1.4445183422010641
0.3,300,1000,0.5,1.5952161455089073
0.3,400,1000,0.5,1.9436335304967245
0.3,500,1000,0.5,2.060475880982198
0.3,600,1000,0.5,2.439773938577261
0.3,700,1000,0.5,3.0177421922980687
0.3,800,1000,0.5,3.0314498550863496
0.3,900,1000,0.5,3.6507455142784937
0.5,1000,1000,0.5,4.316572550945249
0.5,100,1000,0.5,1.436922083092339
0.5,1100,1000,0.5,5.028019007045716
0.5,1300,1000,0.5,5.6338319691410295
0.5,1500,1000,0.5,6.419864056754448
0.5,150,1000,0.5,1.514690221653527
0.5,200,1000,0.5,1.6368915013733436
0.5,300,1000,0.5,1.7020954046186327
0.5,400,1000,0.5,2.1408236676836867
0.5,500,1000,0.5,2.4750545201557337
0.5,600,1000,0.5,2.7126161774178708
0.5,700,1000,0.5,3.150755255464291
0.5,800,1000,0.5,4.387610491929285
0.5,900,1000,0.5,4.08464978315094
1.0,1000,1000,0.5,5.682697601258356
1.0,100,1000,0.5,1.3462888345974329
1.0,1100,1000,0.5,6.467511990013796
1.0,1300,1000,0.5,7.411133221617092
1.0,1500,1000,0.5,9.042430780294858
1.0,150,1000,0.5,1.4390282915125463
1.0,200,1000,0.5,1.5897843591034861
1.0,300,1000,0.5,1.8633876937688238
1.0,400,1000,0.5,2.155286232025252
1.0,500,1000,0.5,2.7588034687713145
1.0,600,1000,0.5,3.0309288131305143
1.0,700,1000,0.5,3.6478004291845494
1.0,800,1000,0.5,3.9525152605188576
1.0,900,1000,0.5,4.984888495153074
0.0001,1000,1000,0.09090909090909091,1.3403235470341521
0.0001,100,1000,0.09090909090909091,0.8279770222015215
0.0001,1100,1000,0.09090909090909091,0.7690869429728887
0.0001,1300,1000,0.09090909090909091,1.2981140649852305
0.0001,1500,1000,0.09090909090909091,1.1264476483100923
0.0001,150,1000,0.09090909090909091,0.8129560685033507
0.0001,200,1000,0.09090909090909091,1.0352882703777335
0.0001,300,1000,0.09090909090909091,0.8775729371755862
0.0001,400,1000,0.09090909090909091,0.9004945598417409
0.0001,500,1000,0.09090909090909091,0.883298392732355
0.0001,600,1000,0.09090909090909091,1.3795634173880316
0.0001,700,1000,0.09090909090909091,1.066805411030177
0.0001,800,1000,0.09090909090909091,0.89058561897702
0.0001,900,1000,0.09090909090909091,0.8789364510654346
0.001,1000,1000,0.09090909090909091,1.0184508586043113
0.001,100,1000,0.09090909090909091,0.9886578449905482
0.001,1100,1000,0.09090909090909091,0.9360827164845494
0.001,1300,1000,0.09090909090909091,1.2108422776059669
0.001,1500,1000,0.09090909090909091,0.7669386307201135
0.001,150,1000,0.09090909090909091,1.1405125899280575
0.001,200,1000,0.09090909090909091,1.2040523578985118
0.001,300,1000,0.09090909090909091,1.1692625258022142
0.001,400,1000,0.09090909090909091,1.2755156950672646
0.001,500,1000,0.09090909090909091,1.0372632864996945
0.001,600,1000,0.09090909090909091,0.6793179317931793
0.001,700,1000,0.09090909090909091,0.5717026378896882
0.001,800,1000,0.09090909090909091,1.515519568151147
0.001,900,1000,0.09090909090909091,1.0287758593871519
0.01,1000,1000,0.09090909090909091,1.1130464480874316
0.01,100,1000,0.09090909090909091,1.1501234567901235
0.01,1100,1000,0.09090909090909091,1.0245888801879406
0.01,1300,1000,0.09090909090909091,1.1808960270498732
0.01,1500,1000,0.09090909090909091,1.2904225811714798
0.01,150,1000,0.09090909090909091,1.1735430157261795
0.01,200,1000,0.09090909090909091,1.2551790900290416
0.01,300,1000,0.09090909090909091,1.1255774165953807
0.01,400,1000,0.09090909090909091,1.2848002766730071
0.01,500,1000,0.09090909090909091,0.9984442523768366
0.01,600,1000,0.09090909090909091,1.3105809128630705
0.01,700,1000,0.09090909090909091,0.5438759689922481
0.01,800,1000,0.09090909090909091,1.1106732348111659
0.01,900,1000,0.09090909090909091,1.2837682271680737
0.1,1000,1000,0.09090909090909091,1.9975165562913908
0.1,100,1000,0.09090909090909091,1.0008850340738118
0.1,1100,1000,0.09090909090909091,1.7447484798231068
0.1,1300,1000,0.09090909090909091,2.5645290581162326
0.1,1500,1000,0.09090909090909091,3.56163168785102
0.1,150,1000,0.09090909090909091,1.2089016511127064
0.1,200,1000,0.09090909090909091,1.013336688475088
0.1,300,1000,0.09090909090909091,1.3602821486706458
0.1,400,1000,0.09090909090909091,1.7608919824697087
0.1,500,1000,0.09090909090909091,1.7855655794587093
0.1,600,1000,0.09090909090909091,2.0425219941348973
0.1,700,1000,0.09090909090909091,1.6149239235998705
0.1,800,1000,0.09090909090909091,1.8513513513513513
0.1,900,1000,0.09090909090909091,2.7637441609773625
0.3,1000,1000,0.09090909090909091,4.4039361187288275
0.3,100,1000,0.09090909090909091,1.224485383151704
0.3,1100,1000,0.09090909090909091,2.966908091908092
0.3,1300,1000,0.09090909090909091,5.140487643058551
