,Unnamed: 0,Rad21,ctcf,ctcfloc,nearest
0,0,231.011761859835,528.8022859653324,12598,136.0
1,1,346.50412463410504,528.8022859653325,12991,42.0
2,2,348.6873067711735,528.8022859653325,1604,147.0
3,3,439.28598592060376,528.8022859653324,20583,60.0
4,4,402.27327575779566,528.8022859653325,16718,28.0
5,5,157.19587294675472,528.8022859653324,7476,11.0
6,6,202.10994508551656,528.8022859653325,10957,21.0
7,7,248.11898783172455,528.8022859653325,14637,56.0
8,8,177.11487529332075,528.8022859653325,16746,7.0
9,9,377.6972687906718,528.8022859653325,457,72.0
10,10,300.3801775648934,528.8022859653325,6614,41.0
11,11,428.5322931030312,528.8022859653325,25388,51.0
12,12,198.91966035271065,528.8022859653325,16185,1.0
13,13,324.46277185088417,528.8022859653325,13388,34.0
14,14,117.62823136657232,528.8022859653324,17405,12.0
15,15,303.98952512277134,528.8022859653325,21476,29.0
16,16,337.2036335486368,528.8022859653325,28332,367.0
17,17,116.42511551394634,528.8022859653325,7620,95.0
18,18,261.2991895880204,528.8022859653325,13474,22.0
19,19,378.1771633161574,528.8022859653325,12242,93.0
20,20,384.7199506495392,528.8022859653325,23007,20.0
21,21,263.03627258872194,528.8022859653324,2980,46.0
22,22,135.65469192249074,528.8022859653324,7525,49.0
23,23,136.49281757263466,528.8022859653324,3227,11.0
24,24,346.1594116650942,528.8022859653324,17624,52.0
25,25,300.7519268451992,528.8022859653324,2161,48.0
26,26,147.13836514502745,528.8022859653325,21581,76.0
27,27,282.9349977018168,528.8022859653324,15243,47.0
28,28,225.705885768198,528.8022859653325,20723,80.0
29,29,296.2098265476449,528.8022859653325,3039,13.0
30,30,463.03062631540746,528.8022859653325,9795,32.0
31,31,502.78752207465465,528.8022859653325,20102,33.0
32,32,150.45031327866076,528.8022859653325,3987,74.0
33,33,381.9216924305102,528.8022859653325,10731,62.0
34,34,226.63863850787428,528.8022859653324,20823,86.0
35,35,324.0707453371072,528.8022859653324,10936,8.0
36,36,271.28910661151025,528.8022859653325,23848,96.0
37,37,448.39046374918354,528.8022859653325,24322,120.0
38,38,400.0765754650797,528.8022859653325,9466,21.0
39,39,296.5410213610083,528.8022859653325,25799,22.0
40,40,340.6507632387449,528.8022859653325,23477,64.0
41,41,377.0957108643588,528.8022859653325,6573,32.0
42,42,229.3017151704284,528.8022859653324,1902,106.0
43,43,225.21923216488855,528.8022859653325,26932,34.0
44,44,195.68206207513848,528.8022859653324,3729,184.0
45,45,406.8086169775262,528.8022859653325,28699,126.0
46,46,250.0791204006096,528.8022859653325,24487,40.0
47,47,166.11785567409342,528.8022859653325,9668,40.0
48,48,382.08391029828,528.8022859653325,3026,13.0
49,49,328.44386868906787,528.8022859653325,12342,100.0
50,50,186.8344292038609,528.8022859653325,26966,34.0
51,51,245.38832039093305,528.8022859653325,10235,12.0
52,52,498.204867310158,528.8022859653325,14454,183.0
53,53,380.5360814766432,528.8022859653325,18078,28.0
54,54,296.6897210731306,528.8022859653325,8059,7.0
55,55,357.0280088056704,528.8022859653325,26896,12.0
56,56,140.12244236398382,528.8022859653324,8066,7.0
57,57,468.1202119166848,528.8022859653325,18605,107.0
58,58,255.22953770230055,528.8022859653324,10389,154.0
59,59,386.815264774899,528.8022859653325,15125,38.0
60,60,274.1819919200716,528.8022859653324,23705,143.0
61,61,263.22552676778673,528.8022859653325,24713,38.0
62,62,300.2923095531848,528.8022859653325,26884,12.0
63,63,304.65867382732176,528.8022859653325,29158,180.0
64,64,317.79832111667514,528.8022859653325,7138,236.0
65,65,281.80623170525195,528.8022859653325,11934,113.0
66,66,255.95951810726467,528.8022859653325,29403,245.0
67,67,135.28294264218496,528.8022859653325,15811,40.0
68,68,439.8740256912693,528.8022859653325,1404,22.0
69,69,228.88941142318015,528.8022859653325,7997,62.0
70,70,72.61277306045432,528.8022859653325,16105,1.0
71,71,482.6522292377289,528.8022859653325,15771,39.0
72,72,230.69408520211917,528.8022859653324,8463,33.0
73,73,311.8773689430776,528.8022859653324,1382,22.0
74,74,290.2348017514575,528.8022859653325,26703,31.0
75,75,247.40928466023172,528.8022859653325,16062,42.0
76,76,337.7376006967124,528.8022859653324,9120,14.0
77,77,304.81413261726783,528.8022859653324,26670,2.0
78,78,274.43207779955003,528.8022859653325,6280,24.0
79,79,214.5398892033771,528.8022859653324,5335,52.0
80,80,203.171120303844,528.8022859653325,2692,110.0
81,81,294.0604397996952,528.8022859653324,5154,7.0
82,82,291.80290780656554,528.8022859653325,2113,32.0
83,83,307.03786922127875,528.8022859653325,4661,3.0
84,84,255.79054116167111,528.8022859653324,21505,29.0
85,85,289.1668674553064,528.8022859653325,6125,21.0
86,86,174.7897525219537,528.8022859653325,24751,15.0
87,87,257.9737232987396,528.8022859653325,3238,11.0
88,88,262.61045068582627,528.8022859653325,13550,10.0
89,89,321.6104410092653,528.8022859653324,19729,88.0
90,90,530.540295618937,528.8022859653325,15623,15.0
91,91,381.25254372595975,528.8022859653324,385,72.0
92,92,358.7448145729008,528.8022859653324,8753,182.0
93,93,305.672535500883,528.8022859653324,16915,143.0
94,94,255.3782374144229,528.8022859653325,2582,110.0
95,95,324.4222173839417,528.8022859653325,15638,15.0
96,96,245.31397053487188,528.8022859653324,3333,36.0
97,97,230.54538548999685,528.8022859653325,21281,67.0
98,98,205.68549725427584,528.8022859653325,22434,91.0
99,99,238.91312383578875,528.8022859653324,16104,1.0
100,100,167.1452355033021,528.8022859653325,9893,66.0
101,101,268.03123110046687,528.8022859653325,948,77.0
102,102,290.065824805864,528.8022859653325,11634,65.0
103,103,202.7452984009483,528.8022859653324,7772,55.0
104,104,387.13970051043856,528.8022859653325,13033,42.0
105,105,178.38558192418412,528.8022859653325,11569,65.0
106,106,256.01359072985457,528.8022859653324,21214,27.0
107,107,291.98540290780653,528.8022859653325,24611,102.0
108,108,198.87910588576815,528.8022859653325,15163,38.0
109,109,458.41417616179206,528.8022859653325,7465,11.0
110,110,255.4931417374265,528.8022859653324,11,374.0
111,111,228.3622033529284,528.8022859653324,22096,338.0
112,112,371.3031811694124,528.8022859653324,17371,34.0
113,113,245.4964656361129,528.8022859653325,25721,1.0
114,114,205.36782059656,528.8022859653325,16753,7.0
115,115,207.34147132109248,528.8022859653325,25439,51.0
116,116,335.9464450734209,528.8022859653325,21659,78.0
117,117,203.08325229213537,528.8022859653324,17417,12.0
118,118,393.0336163727411,528.8022859653325,19641,88.0
119,119,335.6625638048237,528.8022859653325,24766,15.0
120,120,221.72478893001423,528.8022859653325,11076,119.0
121,121,290.667382732177,528.8022859653325,18239,133.0
122,122,222.9211457048165,528.8022859653324,5147,7.0
123,123,179.62925224375255,528.8022859653325,3913,74.0
124,124,290.70793719911944,528.8022859653325,18712,107.0
125,125,427.6941674528872,528.8022859653325,1457,53.0
126,126,199.5752909016136,528.8022859653324,11758,63.0
127,127,333.60780414640635,528.8022859653325,1093,45.0
128,128,166.5234003435179,528.8022859653324,23944,96.0
129,129,154.18132423736603,528.8022859653324,9134,14.0
130,130,302.00235624259136,528.8022859653324,25165,50.0
131,131,226.49669787357573,528.8022859653325,13354,1.0
132,132,320.9210150712437,528.8022859653324,20643,60.0
133,133,304.15174299054115,528.8022859653325,10223,12.0
134,134,305.2872680649297,528.8022859653325,13540,10.0
135,135,249.0517405714009,528.8022859653325,12086,24.0
136,136,181.58262573481383,528.8022859653325,26263,21.0
137,137,345.97015748602945,528.8022859653324,23413,64.0
138,138,312.4518905580956,528.8022859653325,26284,21.0
139,139,219.1495802791688,528.8022859653325,20909,86.0
140,140,159.29118707211455,528.8022859653325,6541,32.0
141,141,121.1970244575078,528.8022859653325,5983,57.0
142,142,248.58536420156275,528.8022859653324,23027,20.0
143,143,243.69179185717397,528.8022859653325,6040,57.0
144,144,284.6382853133996,528.8022859653325,6256,24.0
145,145,259.4674794977865,528.8022859653325,17090,175.0
146,146,373.19572296006,528.8022859653325,14693,56.0
147,147,370.789491254808,528.8022859653324,25115,50.0
148,148,138.2231414955125,528.8022859653325,7406,32.0
149,149,305.98345308077506,528.8022859653325,20069,33.0
150,150,328.4100732999492,528.8022859653324,6792,95.0
151,151,131.36267750441493,528.8022859653324,13353,1.0
152,152,210.9710961124416,528.8022859653324,19935,92.0
153,153,370.2014514841425,528.8022859653324,25720,1.0
154,154,389.8365725621114,528.8022859653325,12462,120.0
155,155,295.1756876406125,528.8022859653325,11293,22.0
156,156,287.1188668747127,528.8022859653324,24447,40.0
157,157,236.7164235430728,528.8022859653325,4576,82.0
158,158,227.49704139148943,528.8022859653325,4658,3.0
159,159,306.5106611510269,528.8022859653324,22525,91.0
160,160,372.28324745385487,528.8022859653325,1138,45.0
161,161,346.5176427897525,528.8022859653325,25777,22.0
162,162,270.6807896073735,528.8022859653325,9628,40.0
163,163,112.10606478457557,528.8022859653325,15550,3.0
164,164,180.3659917265404,528.8022859653325,10928,8.0
165,165,249.3153446065268,528.8022859653325,28825,126.0
166,166,444.1187265645789,528.8022859653325,14000,94.0
167,167,261.22483973195926,528.8022859653325,16772,19.0
168,168,356.6427413697172,528.8022859653325,7827,55.0
169,169,255.297128480538,528.8022859653324,24950,165.0
170,170,186.90201998209835,528.8022859653325,18885,78.0
171,171,207.8686793913443,528.8022859653324,3297,34.0
172,172,362.6921160219658,528.8022859653325,11315,22.0
173,173,206.54390013789097,528.8022859653324,19843,92.0
174,174,266.747006313956,528.8022859653325,12149,39.0
175,175,385.0241091516075,528.8022859653325,14858,165.0
176,176,252.22174807073569,528.8022859653325,10590,26.0
177,177,249.3761763069405,528.8022859653325,12110,24.0
178,178,268.5043665481288,528.8022859653325,5680,20.0
179,179,172.10639862592834,528.8022859653325,7374,32.0
180,180,282.928238623993,528.8022859653325,19209,136.0
181,181,193.4177710041851,528.8022859653324,15732,39.0
182,182,267.923085855287,528.8022859653325,5283,52.0
183,183,414.9397875994871,528.8022859653325,26672,2.0
184,184,306.17270725983985,528.8022859653324,16213,28.0
185,185,302.3335510559547,528.8022859653325,6104,21.0
186,186,425.3960809928152,528.8022859653325,17730,54.0
187,187,429.6678181774197,528.8022859653325,11821,63.0
188,188,364.3007765440162,528.8022859653324,13596,46.0
189,189,148.31444468635846,528.8022859653325,16429,216.0
190,190,490.59414568062505,528.8022859653325,8571,75.0
191,191,229.52476473861188,528.8022859653325,18106,28.0
192,192,240.8800154824975,528.8022859653325,9967,74.0
193,193,183.08990008950815,528.8022859653325,28953,25.0
194,194,342.80690906451844,528.8022859653325,21187,27.0
195,195,339.8937465224859,528.8022859653324,9487,21.0
196,196,246.9496673682173,528.8022859653325,9048,72.0
197,197,296.5612985944795,528.8022859653324,6697,83.0
198,198,239.3795002056269,528.8022859653325,28978,25.0
199,199,182.67083726443624,528.8022859653325,6335,55.0
200,200,251.167331930232,528.8022859653325,19345,136.0
201,201,372.2359339090887,528.8022859653325,13906,94.0
202,202,525.8832909983792,528.8022859653324,10669,53.0
203,203,253.91827660449476,528.8022859653324,15553,3.0
204,204,179.0074170839683,528.8022859653325,5224,59.0
205,205,264.14476135181553,528.8022859653325,20295,193.0
206,206,343.5166122360113,528.8022859653325,18433,172.0
207,207,325.4766335244454,528.8022859653325,10616,26.0
