,Unnamed: 0,Rad21,ctcf,ctcfloc,nearest,ctcfread
0,0,129.43355480771996,337.6103053058299,5,769.0,254.89335171327292
1,1,128.54955561308137,404.0462138876345,774,769.0,355.6490192989366
2,2,80.577865984027,319.47501069209886,1543,769.0,389.419114612052
3,3,9.348961179662709,78.0069965822177,2312,769.0,68.09480897991335
4,4,477.2095531202961,567.9724078646972,3081,769.0,438.9033966128397
5,5,1367.5038935388925,1085.7216386532264,3850,769.0,1157.2574131547856
6,6,33.259800001917526,214.46353356113084,4619,769.0,152.7973564395431
7,7,329.7424147419488,631.529532954967,5388,769.0,665.4341819614023
8,8,1360.4104696982772,1052.8364728873642,6157,769.0,1036.2119574635683
9,9,45.76972799877279,192.86824719560104,6926,769.0,209.53789523434423
10,10,93.48961179662707,298.27833933830374,7696,769.0,244.9256274123671
11,11,60.47626005503303,306.7040171569137,8465,769.0,327.5945742418275
12,12,83.53524510790885,180.6049482409666,9234,769.0,131.30589523434423
13,13,703.8669466256316,916.831605973835,10003,769.0,734.4379487987397
14,14,45.83937642016856,112.71520940002635,10772,769.0,109.72199763686493
15,15,561.4466400130392,861.0731981094922,11541,769.0,942.0654919259551
16,16,54.04181743223938,194.83629053433117,12310,769.0,310.3397810161481
17,17,1019.7118225136865,1108.0772124094892,13079,769.0,1159.3064198503348
18,18,1016.7437282480514,1074.5516629469168,13848,769.0,1122.809450964947
19,19,553.0298961659045,599.4849007672374,14617,769.0,600.4513981882632
20,20,393.2992780510254,691.7636024875405,15387,769.0,917.2155084679008
21,21,451.3539160698364,561.0660024210543,16156,769.0,500.91280976762505
22,22,754.779942665938,911.8517762981868,16925,769.0,1184.726427727452
23,23,21.53743492392211,153.16007865532944,17694,769.0,118.68832768806617
24,24,39.21741881669399,253.9421873047413,18463,769.0,308.783768412761
25,25,930.845794383563,972.6070180006716,19232,769.0,743.404278849941
26,26,1249.2730194341375,1082.066010240252,20001,769.0,1156.3792674281217
27,27,1082.1328807969244,1036.0535001016108,20770,769.0,1114.4285513981883
28,28,545.5453696512977,747.396645507651,21539,769.0,649.6583710122096
29,29,244.9534980489161,531.3717014572663,22308,769.0,574.1686506498622
30,30,139.35041850030203,315.85446388297845,23078,769.0,275.58369751870816
31,31,334.21062885303115,527.4619431187849,23847,769.0,577.8969184718394
32,32,95.51477358798094,142.66966230907434,24616,769.0,135.43472075620323
33,33,460.89039223018,720.2286501280655,25385,769.0,876.1737502953919
34,34,490.9463648478922,797.0575521859005,26154,769.0,444.2493012997243
35,35,1103.6274551538336,1003.9313893551852,26923,769.0,1101.117710909807
36,36,247.11795668306155,451.4463711554295,27692,769.0,358.3142686096888
37,37,20.56771459525796,124.88388468402336,28461,769.0,113.89704135486411
38,38,251.18971054927567,583.4669663060182,29230,769.0,389.9583269003545
39,0,124.76175300332692,330.87411630756714,5,769.0,365.20675032283424
40,1,197.89259546888331,395.9844586094178,774,769.0,423.9556946549885
41,2,115.92711862781758,313.10066720073377,1543,769.0,396.41571149851217
