birth,life,deltacoh,deltactcf,clife,cof,sep,face,frip_a,frip_c,reads_a,reads_c,ctcf_reads_a,ctcf_reads_c
0.0001,66.0,500,24,33.0,3.6666666666666656,74,1.0,0.0061367267970875,0.0040354019247888,8137204,5350880,16777216.0,16777216.0
0.0001,66.0,500,32,33.0,3.6666666666666656,74,1.0,0.0062290106882102,0.0039987846010858,8259571,5302326,16777216.0,16777216.0
0.0001,66.0,500,4000,33.0,3.6666666666666656,74,1.0,0.006222739875371,0.0061511379771888,8251256,8156313,16777216.0,16777216.0
0.0001,66.0,500,400,33.0,3.6666666666666656,74,1.0,0.0062315408838897,0.0049490016624629,8262926,6562299,16777216.0,16777216.0
0.0001,66.0,500,40,33.0,3.6666666666666656,74,1.0,0.0061733230044033,0.0040014105746643,8185730,5305808,16777216.0,16777216.0
0.0001,66.0,500,8000,33.0,3.6666666666666656,74,1.0,0.0062718777083651,0.006294289736742,8316412,8346130,16777216.0,16777216.0
0.0001,66.0,500,800,33.0,3.6666666666666656,74,1.0,0.0062786266565428,0.0055275092225821,8325361,7329391,16777216.0,16777216.0
0.0001,66.0,500,80,33.0,3.6666666666666656,74,1.0,0.0061631848760814,0.0042584980637781,8172287,5646702,16777216.0,16777216.0
0.0001,66.0,500,8,33.0,3.6666666666666656,74,1.0,0.0060666912823408,0.0039256344192284,8044338,5205330,16777216.0,16777216.0
0.0001,66.0,500,10000,33.0,33.0,74,1.0,0.0035021188786233,0.0034722618154482,4643755,4604165,16777216.0,16777216.0
0.0001,66.0,500,40,33.0,28.28571428571429,74,1.0,0.0037019854833887,0.0029744150836163,4908775,3944028,16777216.0,16777216.0
0.0001,66.0,500,8000,33.0,28.28571428571429,74,1.0,0.0037066808629121,0.0036715703442664,4915001,4868445,16777216.0,16777216.0
0.0001,66.0,500,800,33.0,28.28571428571429,74,1.0,0.0037502816775219,0.0034638114897882,4972815,4592960,16777216.0,16777216.0
0.0001,66.0,500,80,33.0,28.28571428571429,74,1.0,0.0036632044841553,0.0030034237205203,4857352,3982493,16777216.0,16777216.0
0.0001,66.0,500,8,33.0,28.28571428571429,74,1.0,0.0037057690874794,0.0029385647372623,4913792,3896491,16777216.0,16777216.0
0.0001,66.0,500,10000,33.0,3.6666666666666656,74,1.0,0.00623933358492,0.0063044263567505,8273259,8359571,16777216.0,16777216.0
0.0001,66.0,500,1600,33.0,3.6666666666666656,74,1.0,0.0062547048064818,0.0060482272642121,8293641,8019855,16777216.0,16777216.0
0.0001,66.0,500,160,33.0,3.6666666666666656,74,1.0,0.0062291223033996,0.0043953247112107,8259719,5828132,16777216.0,16777216.0
0.0001,66.0,500,16,33.0,3.6666666666666656,74,1.0,0.0062486806028788,0.0039658935655653,8285653,5258713,16777216.0,16777216.0
0.0001,66.0,500,240,33.0,3.6666666666666656,74,1.0,0.0062983599203731,0.0047001450394137,8351527,6232319,16777216.0,16777216.0
0.0001,66.0,500,8000,66.0,1.8888888888888884,74,1.0,0.009300382417772,0.0092720035017003,12332162,12294532,16777216.0,16777216.0
0.0001,66.0,500,800,66.0,1.8888888888888884,74,1.0,0.0093011358203007,0.0077475142241492,12333161,10273083,16777216.0,16777216.0
0.0001,66.0,500,80,66.0,1.8888888888888884,74,1.0,0.0092538992163105,0.0047145464154781,12270526,6251415,16777216.0,16777216.0
0.0001,66.0,500,8,66.0,1.8888888888888884,74,1.0,0.0093215440543644,0.0041025158365362,12360222,5439872,16777216.0,16777216.0
0.0001,66.0,500,10000,66.0,14.142857142857146,74,1.0,0.0078077193065016,0.0077475738025273,10352914,10273162,16777216.0,16777216.0
0.0001,66.0,500,1600,66.0,14.142857142857146,74,1.0,0.0078136590445558,0.0074856385942398,10360790,9925840,16777216.0,16777216.0
0.0001,66.0,500,160,66.0,14.142857142857146,74,1.0,0.0077997531494337,0.0049147252411114,10342351,6516849,16777216.0,16777216.0
0.0001,66.0,500,16,66.0,14.142857142857146,74,1.0,0.0077836322961265,0.0042215368446265,10320975,5597692,16777216.0,16777216.0
0.0001,66.0,500,240,66.0,14.142857142857146,74,1.0,0.0077331437685088,0.005202116254158,10254028,6897925,16777216.0,16777216.0
0.0001,66.0,500,24,66.0,14.142857142857146,74,1.0,0.0077297877712588,0.00426179448265,10249578,5651073,16777216.0,16777216.0
0.0001,66.0,500,10000,17.0,7.333333333333331,74,1.0,0.0032338487541784,0.0032494303854555,4288033,4308694,16777216.0,16777216.0
0.0001,66.0,500,1600,17.0,7.333333333333331,74,1.0,0.0032112014289157,0.0031626412799426,4258003,4193613,16777216.0,16777216.0
0.0001,66.0,500,160,17.0,7.333333333333331,74,1.0,0.0032067496420018,0.0027767317624551,4252100,3681903,16777216.0,16777216.0
0.0001,66.0,500,16,17.0,7.333333333333331,74,1.0,0.0032560134191623,0.0026545960872541,4317423,3519953,16777216.0,16777216.0
0.0001,66.0,500,240,17.0,7.333333333333331,74,1.0,0.0032118055084207,0.0028092027327018,4258804,3724959,16777216.0,16777216.0
0.0001,66.0,500,24,17.0,7.333333333333331,74,1.0,0.0032161833879795,0.0026164161508989,4264609,3469327,16777216.0,16777216.0
0.0001,66.0,500,320,17.0,7.333333333333331,74,1.0,0.0031821445259838,0.0028504483159832,4219474,3779650,16777216.0,16777216.0
0.0001,66.0,500,32,17.0,7.333333333333331,74,1.0,0.0032108371712367,0.0026416291172053,4257520,3502759,16777216.0,16777216.0
0.0001,66.0,500,4000,17.0,7.333333333333331,74,1.0,0.0032138930141259,0.0031896265144597,4261572,4229395,16777216.0,16777216.0
0.0001,66.0,500,400,17.0,7.333333333333331,74,1.0,0.0032220296106047,0.0028695767461517,4272361,3805014,16777216.0,16777216.0
0.0001,66.0,500,24,33.0,17.0,74,1.0,0.0045645423882814,0.0033300519975951,6052512,4415597,16777216.0,16777216.0
0.0001,66.0,500,320,33.0,17.0,74,1.0,0.0045980616363209,0.0038017483463606,6096958,5041059,16777216.0,16777216.0
0.0001,66.0,500,32,33.0,17.0,74,1.0,0.0045476553117819,0.0033021218047512,6030120,4378562,16777216.0,16777216.0
0.0001,66.0,500,4000,33.0,17.0,74,1.0,0.0045282131524322,0.0046436571953636,6004340,6157417,16777216.0,16777216.0
0.0001,66.0,500,400,33.0,17.0,74,1.0,0.0045437993086494,0.0039068385721581,6025007,5180407,16777216.0,16777216.0
0.0001,66.0,500,40,33.0,17.0,74,1.0,0.0045100885048119,0.0033429910638466,5980307,4432754,16777216.0,16777216.0
0.0001,66.0,500,8000,33.0,17.0,74,1.0,0.004523375991452,0.0045049255481437,5997926,5973461,16777216.0,16777216.0
0.0001,66.0,500,800,33.0,17.0,74,1.0,0.0045297659610475,0.0042094386630792,6006399,5581650,16777216.0,16777216.0
0.0001,66.0,500,80,33.0,17.0,74,1.0,0.0044901697184371,0.0034446099064212,5953895,4567499,16777216.0,16777216.0
0.0001,66.0,500,8,33.0,17.0,74,1.0,0.0045366717738157,0.0033942691935138,6015556,4500748,16777216.0,16777216.0
0.0001,66.0,500,320,66.0,33.0,74,1.0,0.0062611830124094,0.004770907561205,8302231,6326149,16777216.0,16777216.0
0.0001,66.0,500,32,66.0,33.0,74,1.0,0.0062788823156592,0.0040227599962714,8325700,5334117,16777216.0,16777216.0
0.0001,66.0,500,4000,66.0,33.0,74,1.0,0.0062143491280892,0.0063481795110108,8240130,8417587,16777216.0,16777216.0
0.0001,66.0,500,400,66.0,33.0,74,1.0,0.0062179555053588,0.0048948713122115,8244912,6490523,16777216.0,16777216.0
0.0001,66.0,500,40,66.0,33.0,74,1.0,0.0063274809266232,0.0039432447319893,8390141,5228681,16777216.0,16777216.0
0.0001,66.0,500,8000,66.0,33.0,74,1.0,0.0063099211423603,0.0063112250792694,8366857,8368586,16777216.0,16777216.0
0.0001,66.0,500,800,66.0,33.0,74,1.0,0.0062733913008328,0.0054799143941663,8318419,7266281,16777216.0,16777216.0
0.0001,66.0,500,80,66.0,33.0,74,1.0,0.0063927079383437,0.0042075547796791,8476631,5579152,16777216.0,16777216.0
0.0001,66.0,500,8,66.0,33.0,74,1.0,0.0063186965095516,0.0038947946898922,8378493,5164437,16777216.0,16777216.0
0.0001,66.0,500,10000,66.0,66.0,74,1.0,0.0047463461862748,0.0048383118232763,6293581,6415526,16777216.0,16777216.0
