Rad21,ctcf
35751,9386.004514672692
24292,6451.634877384201
5024,6575.242718446605
60469,12886.363636363634
8624,1260.0
19974,9527.777777777774
10457,7577.830188679243
6379,2031.5217391304377
377,880.1470588235298
31315,11459.216965742247
9307,6447.65625
46477,11143.053016453388
15568,6039.379474940338
20617,10232.018561484923
40519,8898.75
3639,3028.8461538461497
21348,4227.0220588235225
22049,4424.15730337078
24204,8501.204819277105
52887,10158.932714617164
44372,9636.075949367088
32089,5519.230769230763
2653,2091.796875
2161,807.6923076923078
2146,2085.6164383561654
23533,4073.275862068959
7718,5983.455882352945
675,894.8863636363634
54042,11576.923076923076
5637,3242.076923076925
18427,2979.7297297297264
997,1157.1428571428569
9985,2999.9999999999923
1210,942.9611650485438
1125,1480.2631578947364
2127,1652.097902097904
12569,9389.423076923074
9978,2734.7266881028872
17037,4603.846153846149
706,828.9473684210521
10026,3937.5
16105,4522.2772277227705
44070,6863.532110091735
22037,11203.60824742268
2599,4087.025316455697
15247,6562.500000000005
4274,2274.064171122996
1680,8122.641509433969
8767,6250.000000000003
47969,8000.000000000001
28941,5040.0
21036,9386.00451467269
24938,8273.346303501941
32619,6769.736842105266
41930,9395.922746781112
11497,9857.913669064756
19424,10597.222222222215
1456,1316.417910447761
9706,4260.245901639351
55772,10837.155963302755
1460,2268.2555780933
200,841.3461538461536
13532,8259.640102827761
23139,6999.999999999993
3542,2739.130434782611
41561,10540.384615384612
4662,2901.315789473676
33860,9450.0
786,1406.2500000000002
15469,3733.069977426636
601,1332.0895522388057
4898,4581.818181818183
16250,8241.935483870975
12300,2949.6466431095428
13855,3573.529411764706
14298,7875.0
36725,8129.032258064522
15631,3349.13793103449
2696,1583.3333333333408
33945,6443.181818181817
19192,11941.05199516324
33412,8180.23255813953
61755,13372.641509433965
8178,3262.4999999999973
39940,12271.875000000007
1260,807.692307692308
315,1167.7756653992394
21555,8779.78723404255
29292,12886.363636363634
43434,10076.086956521738
14957,7312.499999999996
27882,7460.526315789476
30398,10230.769230769238
380,887.323943661972
23957,9099.264705882357
12789,5271.694214876035
12480,4912.844036697245
6587,2591.772151898727
30622,10631.25
11878,3590.673575129534
9081,6433.098591549294
10004,5989.43661971831
962,2019.230769230766
42763,10295.454545454551
3511,1968.75
34657,7325.5813953488305
26044,9413.79310344827
25887,5572.481572481576
2001,1181.25
2940,1932.5153374233053
10098,6291.666666666659
4125,3561.557788944729
4753,902.578796561605
5146,7264.964788732398
38510,10768.82530120482
24984,6942.434210526323
14991,8357.142857142855
3780,2838.6627906976764
28396,12533.156498673736
6737,2720.45454545455
15020,7735.207100591721
53916,10090.909090909096
7007,1309.5898004434598
47858,10373.798076923074
2465,813.3802816901407
16663,9362.499999999993
53762,10631.25
45128,11456.36942675159
44225,11531.578947368414
2928,1324.7663551401872
1203,1260.0
15250,5941.281138790031
13603,4407.11009174312
31053,5509.717314487626
6539,9170.886075949364
1179,1112.5827814569536
24862,8965.384615384612
26923,8994.078947368416
6312,3530.172413793108
19589,5985.000000000001
42581,10729.6875
8452,1932.5153374233053
20970,7119.318181818181
43396,9079.41176470588
3167,1968.75
19356,6610.103626942998
16864,6523.66863905326
11185,5833.3333333333285
22146,6985.355648535557
568,1260.0
29346,11834.254143646403
15246,6567.137809187271
24885,7372.340425531919
576,807.692307692308
11002,3538.043478260865
15031,3955.479452054803
1430,2660.472972972974
6639,3490.056818181816
305,1078.7671232876712
837,1000.0
361,907.068062827225
25423,9029.390420899865
51881,14423.684210526308
17825,2999.9999999999923
4920,1796.0526315789436
28147,10729.6875
6910,5101.630434782611
52932,11931.81818181819
32065,10832.278481012663
3691,1349.9999999999998
30683,8816.576086956518
27148,10146.067415730337
2016,2081.2499999999977
3414,1406.2500000000002
35964,10339.694656488557
22103,11502.80898876404
917,1648.255813953493
