,Unnamed: 0,Rad21,ctcf,ctcfloc,nearest
0,0,345.04416382417685,667.9579850895849,7,128.0
1,1,10.40222077073808,137.86141126007874,135,128.0
2,2,852.3061954181484,1013.7687615892656,267,132.0
3,3,866.9125625952536,867.6010970849,400,132.0
4,4,39.54060526888743,92.55031804872417,532,131.0
5,5,116.83741926119455,300.2089796435974,663,131.0
6,6,169.30138132907564,420.1490628878586,799,131.0
7,7,82.77842610736144,556.367639227451,930,131.0
8,8,40.98028884534436,97.64729208619008,1063,128.0
9,9,601.7809758811718,701.8399118694917,1191,128.0
10,10,29.86160582528969,97.6472920861901,1325,133.0
11,11,205.577352009096,394.7849504265892,1458,129.0
12,12,94.99207973486224,429.0317069235427,1587,129.0
13,13,1260.9735587972034,1080.582166100855,1721,133.0
14,14,787.8313520574787,952.0861099541056,1854,132.0
15,15,83.41377942279314,456.1959427151697,1986,132.0
16,16,449.4651571231584,557.0158030710254,2118,132.0
17,17,649.5744151728476,731.2877403395405,2250,132.0
18,18,440.3944746836974,612.1775442738297,2385,130.0
19,19,42.83903524687326,175.0392106341172,2515,130.0
20,20,152.12656457894863,326.1296921716953,2647,132.0
21,21,193.42453008200883,446.1623822914908,2781,130.0
22,22,336.72373902315115,584.8665932245771,2911,130.0
23,23,977.8628250719694,988.799087658496,3043,130.0
24,24,372.9253598471103,699.9481600854766,3173,130.0
25,25,425.9300481408907,577.068371981582,3305,132.0
26,26,1039.1811790889517,995.633363349744,3439,130.0
27,27,525.2276604494763,691.7414958713691,3569,130.0
28,28,580.2397948569078,1074.2964715980677,3706,127.0
29,29,13.281587923651934,170.29939038009763,3833,127.0
30,30,760.5449548830345,856.8474997670486,3970,133.0
31,31,981.3167138399012,896.5438874203833,4103,128.0
32,32,73.63339381183927,286.46527015081267,4231,128.0
33,33,668.9526912935142,739.3640259694452,4366,130.0
34,34,390.0663812081186,439.8196781048812,4496,130.0
35,35,222.19792437767617,434.4723263954003,4629,129.0
36,36,125.47552071993611,443.26731275968,4758,129.0
37,37,237.98037109611244,522.0090447712587,4895,129.0
38,38,60.466710211190936,296.01411248917395,5024,129.0
39,39,512.4192079734862,724.9774913816735,5158,133.0
40,40,61.28455862786365,314.6178915277036,5291,130.0
41,41,22.91327382248349,120.79143883807276,5421,130.0
42,42,24.346198321116677,181.57052446374945,5555,132.0
43,43,804.6817330720661,882.1427342393606,5687,132.0
44,44,543.6393884413479,624.9599215233643,5821,127.0
45,45,58.51333672012967,85.07150446902929,5948,127.0
46,46,26.05624501052326,121.30566377991208,6083,129.0
47,47,655.3061131673803,958.7634510360016,6212,129.0
48,48,758.8281491158042,937.913336771048,6344,132.0
49,49,35.1472046834555,195.86230098683467,6479,133.0
50,50,140.69696397900185,458.942272805093,6612,132.0
51,51,207.6388707453371,365.7475597066364,6744,131.0
52,52,61.25752231656869,200.52568910556928,6875,131.0
53,53,146.02987638193386,408.34322145134087,7008,129.0
54,54,306.7337107192104,471.858471821861,7137,129.0
55,55,957.9167864141084,946.3010047678534,7270,133.0
56,56,16.03929167573844,104.52934857630734,7406,129.0
57,57,727.3646418462878,945.5343257130652,7535,129.0
58,58,299.6231608486344,622.6850345909778,7669,133.0
59,59,1186.6980525921088,1216.52251390712,7802,129.0
60,60,498.9010523260033,832.4147791940491,7931,129.0
61,61,58.77018167743184,302.3884726671752,8062,131.0
62,62,497.50868229431256,609.7953332636573,8198,130.0
63,63,11.010537774874807,161.9630565852668,8328,130.0
64,64,107.9695091564458,374.45727005232055,8461,129.0
65,65,642.9978324503471,663.557734858429,8590,129.0
66,66,971.0969881704042,1089.5229108069252,8725,132.0
67,67,695.542903452113,830.5797773603452,8857,132.0
68,68,794.2254396787381,982.9385845820796,8989,132.0
69,69,52.903302126424265,257.3413010188132,9121,130.0
70,70,658.320661876769,907.667962946602,9251,130.0
71,71,14.66719887751893,129.97035404990592,9386,129.0
72,72,36.255693446549095,181.46431181416528,9515,129.0
73,73,1485.6588238140164,986.1294964242225,9647,132.0
74,74,12.916597721169897,189.68646266743,9784,131.0
75,75,45.63053438807847,354.28340599162806,9915,131.0
76,76,503.4161163122626,603.2504388530535,10046,131.0
77,77,773.2249848803734,1058.2552586130596,10177,131.0
78,78,112.75493625565473,425.5057305410854,10312,128.0
79,79,274.29013716525145,578.7775711581293,10440,128.0
80,80,71.24743934005853,241.4067772822328,10577,133.0
81,81,286.5443452596947,586.7233125681466,10710,132.0
82,82,71.86927449984275,188.29851294059583,10842,127.0
83,83,123.06252993686044,310.1153098958227,10969,127.0
84,84,8.259593100612042,77.9822124299436,11101,132.0
85,85,752.3461934828362,1022.1426904408032,11238,127.0
86,86,48.77350557611825,77.26677928838438,11365,127.0
87,87,96.28982267702058,296.0887128199418,11497,132.0
88,88,948.8123085855286,1023.6321244262556,11633,129.0
89,89,33.876498052592105,71.52508655994826,11762,129.0
90,90,590.8853424293006,831.632224338508,11898,133.0
91,91,622.6056946561192,832.991814592578,12031,131.0
92,92,443.3346735370249,732.1897458962811,12162,131.0
93,93,344.0843747732056,615.5173558641525,12294,132.0
94,94,546.356537726492,674.6368145102097,12427,132.0
95,95,42.16312746449911,134.0828488347686,12559,131.0
96,96,988.4745772552434,1011.3966790818912,12690,131.0
97,97,285.30743401795,446.44258004305766,12823,130.0
98,98,246.65902702179645,568.1561191324461,12953,130.0
99,99,81.0413431066599,228.0578203328785,13083,130.0
100,100,233.19494399690348,526.3799339021189,13220,130.0
101,101,186.4897162348501,456.8188775481906,13350,130.0
102,102,184.35384764254783,529.690499524145,13480,130.0
103,103,22.433379296997845,175.45997796737294,13615,133.0
104,104,592.1357718266928,878.774343433229,13748,132.0
105,105,228.57173476546436,499.6705695745336,13880,130.0
106,106,476.99488109925727,902.3656009750612,14010,130.0
107,107,292.6139971454145,479.3053056669695,14141,131.0
108,108,21.879134915451047,146.7122979614186,14272,131.0
109,109,970.2318262089652,1074.2964715980677,14409,129.0
110,110,772.8126811331252,887.6853713987965,14538,129.0
111,111,40.09484965043424,108.906193221128,14674,129.0
112,112,12.5583665965116,74.17820206750731,14803,129.0
113,113,936.598654958028,1113.263308482642,14936,130.0
114,114,166.14489198538837,419.4262421530827,15066,130.0
