,Unnamed: 0,Rad21,ctcf,ctcfloc,nearest
142,142,486.1939860173694,923.578953504345,19051,145.0
143,143,35.27562716210659,344.76976164362065,9329,265.0
144,144,248.5718460459153,546.990487223053,3762,17.0
145,145,398.8937368459249,653.7203383885267,492,110.0
146,146,116.19530686793912,566.1572697942106,23001,75.0
147,147,172.2821346493456,638.155568426895,16346,17.0
148,148,39.41894186806009,243.10688321024625,17621,70.0
149,149,10.13185765778842,95.12878038661783,12222,54.0
150,150,526.8768754384691,791.0044856691575,24771,212.0
151,151,97.10091201586955,419.5207276636991,7823,48.0
152,152,120.96721581150058,414.0248229344792,16975,12.0
153,153,1301.8321842417204,1154.757695248668,6215,46.0
154,154,198.25051164816023,481.2625060699775,23155,79.0
155,155,390.4381304884244,729.3206496307374,16426,80.0
156,156,22.55504269782519,89.22539862503695,8163,105.0
157,157,16.370486489101772,122.689455078068,17878,65.0
158,158,1061.5334494520646,1105.0312873192995,14135,183.0
159,159,13.247792534533223,96.255517210148,26847,13.0
160,160,7.1375861818709625,121.28392177894752,3809,47.0
161,161,952.8609962019498,776.4630490365266,23593,2.0
162,162,106.18511261097804,180.28150889748636,11025,56.0
163,163,51.159460047898975,313.2051869579852,11598,56.0
164,164,859.0044415414761,1117.8372573779527,24346,137.0
165,165,19.486421365846574,143.00404894720336,1289,112.0
166,166,565.7415729249824,815.6875686659555,27137,172.0
167,167,154.62742337373297,403.1648311623326,29422,53.0
168,168,232.09997338945735,540.0800145953566,752,72.0
169,169,563.1731233519607,1025.5076383454036,4023,51.0
170,170,333.1887413213344,519.8747194803713,20630,67.0
171,171,436.50124585722233,1001.717518769928,6008,32.0
172,172,41.277688269588985,300.2557012941315,5208,39.0
173,173,26.16439025570312,106.44139210826984,849,15.0
174,174,53.87660933304304,245.4221868598668,25118,72.0
175,175,38.925529186926966,247.22733885787736,20441,98.0
176,176,657.3203183588553,790.4527898531974,25774,187.0
177,177,979.20112248107,1034.466678111254,23076,75.0
178,178,20.51380119505528,127.4540941102259,3148,148.0
179,179,577.3942230931127,662.512651191281,8601,63.0
180,180,265.14510486972927,666.8833626860301,10658,8.0
181,181,652.778218061301,903.4377416596966,12352,38.0
182,182,57.844188015579256,241.85697635569417,7871,4.0
183,183,37.77648595689092,471.25334283832245,22163,89.0
184,184,136.37791324963106,458.5548994684277,12586,190.0
185,185,136.40494956092604,368.4988545502666,26172,10.0
186,186,81.99437307980743,402.69238323169577,14329,11.0
187,187,360.0898710598253,673.8288610718763,18158,108.0
188,188,715.0022885066647,939.5752513260848,10666,8.0
189,189,617.9892445025038,956.6413715935648,17736,45.0
190,190,339.0826571836369,618.8175208988072,18855,196.0
191,191,31.071480755739408,256.9422342872513,6528,95.0
192,192,207.29415777632627,611.799786657064,7734,70.0
193,193,532.0678472071025,871.6271178513688,27658,86.0
194,194,445.6733144640394,912.7975426196028,4901,136.0
195,195,25.339782761206667,179.7254458018607,29152,35.0
196,196,219.5956794155357,553.5807340570663,12776,151.0
197,197,918.4302537678108,1055.3991653359485,4765,22.0
198,198,12.159581004910851,217.70765660619088,24483,76.0
199,199,11.67968647942521,87.2691375626523,28043,107.0
200,200,271.18772044415414,609.7598873961904,18050,108.0
201,201,1027.3122384304618,1105.0312873192995,174,27.0
202,202,622.0920047415149,850.8740912358596,4141,67.0
203,203,9.13827321769843,76.32425403112363,17813,65.0
204,204,12.031158526259766,87.05654526651915,3577,44.0
205,205,24.386752788059123,224.4063537325348,3723,22.0
206,206,883.8305343880784,991.876083497803,22453,41.0
207,207,45.97524735708929,108.91188367819014,19284,88.0
208,208,284.53014006821974,465.0740374456877,6409,119.0
209,209,525.0789607373539,869.5746207135714,11654,47.0
210,210,7.475540073058035,128.2322021328769,147,27.0
211,211,17.181575827950745,128.70364405248313,15778,90.0
212,212,58.21593729588504,309.0341735723463,5313,3.0
213,213,515.6973607180008,583.4565197045898,5574,9.0
214,214,9.719553910540194,76.32425403112363,14654,53.0
215,215,325.36848827926553,533.098665325324,16963,12.0
216,216,11.382287055180589,74.80211791084488,834,15.0
217,217,283.2188789704139,562.7828634945844,16779,33.0
218,218,515.6703244067058,712.1601637570727,10177,339.0
219,219,277.7575440888308,542.9023669896964,10913,112.0
220,220,8.043302610252315,87.42645011346386,2401,79.0
221,221,136.01968212497275,291.7282598522949,24559,76.0
222,222,11.44311875559426,77.58730315220606,21779,129.0
223,223,266.9430195708445,729.3206496307374,16329,17.0
224,224,165.82721532767255,471.91336152577145,23437,42.0
225,225,1305.090059752764,922.1805174662204,28849,1.0
226,226,405.7542008370225,653.8736858758342,29369,53.0
227,227,43.73123351960713,183.24639437958288,97,50.0
228,0,163.85356460314003,525.4470892288451,3807,19.0
229,1,180.3389554152454,883.0875241993924,15139,7.0
230,2,272.8166581996758,436.37102017539297,2552,46.0
231,3,120.81175702155451,546.5145432781154,6286,18.0
232,4,61.088545370975154,331.5052451357949,4962,110.0
233,5,17.337034617896798,96.69686017058608,29489,188.0
234,6,49.13849577860028,334.972519383389,7839,29.0
235,7,14.376558531098048,79.30258944213571,28971,319.0
236,8,1123.6020611074823,999.1073259135006,2864,68.0
237,9,1083.9262742821202,1045.73183553147,26435,54.0
238,10,134.16093572344388,450.7003906202351,4460,12.0
239,11,13.795277838256284,166.2065616750859,27874,183.0
240,12,1156.7215424438157,1192.1575918935855,4852,110.0
241,13,88.78048721484384,293.2991295479982,15324,68.0
242,14,1016.1732781769358,1024.1946312407777,15114,18.0
243,15,27.691941843868687,169.3875485014045,23111,48.0
244,16,193.6948931949585,743.540360126208,20798,8.0
245,17,257.83178266444105,641.0201869799015,4447,1.0
246,18,332.364133826838,721.2362956638303,4161,10.0
247,19,117.46601349880252,368.7233905850926,13058,114.0
248,20,485.87630935965353,700.5961189717935,10519,60.0
249,21,85.6104797155091,276.8310588938946,7968,100.0
250,22,1082.6082541064904,922.4608533038238,18835,44.0
251,23,463.1860851053535,910.60490706164,10729,33.0
252,24,27.009274983670803,157.41994996597913,27184,61.0
253,25,226.69271113046423,410.2529196671362,19467,10.0
254,26,1189.982964414447,998.0854257713738,5922,74.0
255,27,114.85700945883832,288.806206985891,18688,55.0
256,28,291.6204127053245,551.7194436902876,17119,32.0
257,29,55.07296610784527,369.4549846140319,3054,121.0
258,30,147.6047415148656,426.6894978180287,25356,26.0
259,31,905.696151147882,1006.0766326117,20075,130.0
260,32,63.56236785446452,200.22076585534677,7868,29.0
261,33,415.4737547475627,607.2790129612065,9987,65.0
262,34,910.5018554805622,877.387170868582,11470,172.0
263,35,853.1983936908822,1034.473956919289,5,50.0
264,36,386.0920434477586,502.3935331616851,26277,32.0
265,37,942.141098773496,1022.1587907654884,20758,23.0
266,38,497.2112828700679,806.6433830739697,15132,7.0
267,39,147.53039165880446,466.5274707675223,25648,38.0
268,40,906.5004814089071,989.7257195970805,10329,130.0
269,41,205.0231076275492,362.06588492175104,24485,26.0
270,42,36.80317875027215,268.9198546289144,25887,34.0
271,43,112.21421002975542,360.3572943022143,8656,3.0
272,44,229.1935699252485,394.3166555285732,25921,27.0
273,45,342.6176548854537,984.3956879121308,6235,33.0
274,46,474.52781769359166,743.0907636419006,17087,15.0
275,47,457.25161477610857,601.2327270983902,16053,88.0
276,48,680.1119287805113,978.2054990115448,6056,29.0
277,49,265.7331446403948,551.7194436902873,28100,8.0
278,50,361.0766964220916,524.1989963803201,16569,12.0
