birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,15.0,1.5,1000,1.0,0.01097005
0.0001,100,15.0,1.5,1000,1.0,0.01147065
0.0001,10,15.0,1.5,1000,1.0,0.0111448
0.0001,1500,15.0,1.5,1000,1.0,0.01135925
0.0001,200,15.0,1.5,1000,1.0,0.0109152
0.0001,20,15.0,1.5,1000,1.0,0.0113264
0.0001,400,15.0,1.5,1000,1.0,0.0113255
0.0001,40,15.0,1.5,1000,1.0,0.0116018
0.0001,4,15.0,1.5,1000,1.0,0.01068535
0.0001,600,15.0,1.5,1000,1.0,0.0107534
0.0001,60,15.0,1.5,1000,1.0,0.01118455
0.0001,800,15.0,1.5,1000,1.0,0.01149985
0.0001,80,15.0,1.5,1000,1.0,0.01143035
0.0001,8,15.0,1.5,1000,1.0,0.0112354
0.00025,1000,15.0,1.5,1000,1.0,0.01101255
0.00025,100,15.0,1.5,1000,1.0,0.0112795
0.00025,10,15.0,1.5,1000,1.0,0.01143045
0.00025,1500,15.0,1.5,1000,1.0,0.0109866
0.00025,200,15.0,1.5,1000,1.0,0.0116944
0.00025,20,15.0,1.5,1000,1.0,0.01135245
0.00025,400,15.0,1.5,1000,1.0,0.0111827
0.00025,40,15.0,1.5,1000,1.0,0.0115165
0.00025,4,15.0,1.5,1000,1.0,0.01119505
0.00025,600,15.0,1.5,1000,1.0,0.0108891
0.00025,60,15.0,1.5,1000,1.0,0.01145595
0.00025,800,15.0,1.5,1000,1.0,0.0119035
0.00025,80,15.0,1.5,1000,1.0,0.01122825
0.00025,8,15.0,1.5,1000,1.0,0.01089625
0.0005,1000,15.0,1.5,1000,1.0,0.01110445
0.0005,100,15.0,1.5,1000,1.0,0.011796
0.0005,10,15.0,1.5,1000,1.0,0.01093235
0.0005,1500,15.0,1.5,1000,1.0,0.01058345
0.0005,200,15.0,1.5,1000,1.0,0.01118575
0.0005,20,15.0,1.5,1000,1.0,0.01099635
0.0005,400,15.0,1.5,1000,1.0,0.01105095
0.0005,40,15.0,1.5,1000,1.0,0.01103635
0.0005,4,15.0,1.5,1000,1.0,0.01097415
0.0005,600,15.0,1.5,1000,1.0,0.0109822
