birth,deltactcf,clife,cof,sep,face,frip
0.00075,1000,30.0,3.0,500,1.0,0.017106836894563153
0.00075,100,30.0,3.0,100,1.0,0.016590166338877964
0.00075,100,30.0,3.0,500,1.0,0.017904296809893663
0.00075,10,30.0,3.0,100,1.0,0.01642458748624954
0.00075,10,30.0,3.0,500,1.0,0.018047368245608188
0.00075,1500,30.0,3.0,100,1.0,0.016128354278475948
0.00075,1500,30.0,3.0,500,1.0,0.017896196539884664
0.00075,200,30.0,3.0,100,1.0,0.016520547351578384
0.00075,200,30.0,3.0,500,1.0,0.017271409046968233
0.00075,20,30.0,3.0,100,1.0,0.016291156371879063
0.00075,20,30.0,3.0,500,1.0,0.01816950565018834
0.00075,3000,30.0,3.0,100,1.0,0.016167265575519185
0.00075,3000,30.0,3.0,500,1.0,0.017229407646921564
0.00075,400,30.0,3.0,100,1.0,0.016387106236874564
0.00075,400,30.0,3.0,500,1.0,0.01774392479749325
0.00075,40,30.0,3.0,100,1.0,0.016395079835994534
0.00075,40,30.0,3.0,500,1.0,0.01738439614653822
0.00075,4,30.0,3.0,100,1.0,0.016688556285209506
0.00075,4,30.0,3.0,500,1.0,0.01737451248374946
0.00075,800,30.0,3.0,100,1.0,0.016408143604786825
0.00075,800,30.0,3.0,500,1.0,0.017246241541384714
0.00075,80,30.0,3.0,100,1.0,0.0160960398679956
0.00075,80,30.0,3.0,500,1.0,0.01721265708856962
0.00075,8,30.0,3.0,100,1.0,0.01675051168372279
0.00075,8,30.0,3.0,500,1.0,0.017792109736991232
0.001,1000,30.0,3.0,100,1.0,0.015988556285209506
0.001,1000,30.0,3.0,500,1.0,0.017502316743891463
0.001,100,30.0,3.0,100,1.0,0.016550125004166805
0.001,100,30.0,3.0,500,1.0,0.017986349544984834
0.001,10,30.0,3.0,100,1.0,0.016479525984199474
0.001,10,30.0,3.0,500,1.0,0.017693006433547785
0.001,1500,30.0,3.0,100,1.0,0.016309060302010066
0.001,1500,30.0,3.0,500,1.0,0.01671245708190273
0.001,200,30.0,3.0,100,1.0,0.016220797359911998
0.001,200,30.0,3.0,500,1.0,0.017633387779592655
0.001,20,30.0,3.0,100,1.0,0.016822727424247477
0.001,20,30.0,3.0,500,1.0,0.017866795559851996
0.001,3000,30.0,3.0,100,1.0,0.016188242941431383
0.001,3000,30.0,3.0,500,1.0,0.017699689989666322
0.001,400,30.0,3.0,100,1.0,0.016574799159972
0.001,400,30.0,3.0,500,1.0,0.017386062868762292
0.001,40,30.0,3.0,100,1.0,0.01663393446448215
0.001,40,30.0,3.0,500,1.0,0.016995199839994667
0.001,4,30.0,3.0,100,1.0,0.016373192439747993
0.001,4,30.0,3.0,500,1.0,0.017580302676755893
0.001,800,30.0,3.0,100,1.0,0.016010947031567718
0.001,800,30.0,3.0,500,1.0,0.017627854261808726
0.001,80,30.0,3.0,100,1.0,0.016654481816060534
0.001,80,30.0,3.0,500,1.0,0.017824327477582586
0.001,8,30.0,3.0,100,1.0,0.016461918730624355
0.001,8,30.0,3.0,500,1.0,0.017688089602986765
0.0025,1000,30.0,3.0,100,1.0,0.01694369145638188
0.0025,1000,30.0,3.0,500,1.0,0.017257075235841194
0.0025,100,30.0,3.0,100,1.0,0.016986256208540284
0.0025,100,30.0,3.0,500,1.0,0.01844626487549585
0.0025,10,30.0,3.0,100,1.0,0.017447388246274877
0.0025,10,30.0,3.0,500,1.0,0.018352795093169772
0.0025,1500,30.0,3.0,100,1.0,0.015997739924664155
0.0025,1500,30.0,3.0,500,1.0,0.01767423914130471
0.0025,200,30.0,3.0,100,1.0,0.01717795259841995
0.0025,200,30.0,3.0,500,1.0,0.018020500683356113
0.0025,20,30.0,3.0,100,1.0,0.017111723724124138
0.0025,20,30.0,3.0,500,1.0,0.018166072202406746
0.0025,3000,30.0,3.0,100,1.0,0.016435741191373046
0.0025,3000,30.0,3.0,500,1.0,0.017232441081369378
0.0025,400,30.0,3.0,100,1.0,0.016912490416347212
0.0025,400,30.0,3.0,500,1.0,0.018076602553418447
0.0025,40,30.0,3.0,100,1.0,0.016935221174039134
0.0025,40,30.0,3.0,500,1.0,0.018596036534551153
0.0025,4,30.0,3.0,100,1.0,0.017072429080969367
0.0025,4,30.0,3.0,500,1.0,0.018579752658421947
