birth,life,deltactcf,clife,cof,sep,face,frip
0.005,50,5000,17.0,1.7,100,1.0,0.011465225245568478
0.005,50,5000,17.0,1.7,74,1.0,0.011319799202716668
0.005,50,8,17.0,1.7,100,1.0,0.012598593525702027
0.005,50,8,17.0,1.7,74,1.0,0.012482206288687039
0.0075,50,1000,17.0,1.7,100,1.0,0.011846521718092227
0.0075,50,1000,17.0,1.7,74,1.0,0.0114778662683145
0.0075,50,100,17.0,1.7,100,1.0,0.012955599283859417
0.0075,50,100,17.0,1.7,74,1.0,0.013058667199346887
0.0075,50,10,17.0,1.7,100,1.0,0.013524731044049098
0.0075,50,10,17.0,1.7,74,1.0,0.01335229724548907
0.0075,50,1500,17.0,1.7,100,1.0,0.011815011532444072
0.0075,50,1500,17.0,1.7,74,1.0,0.011542188645722574
0.0075,50,200,17.0,1.7,100,1.0,0.01290263875223794
0.0075,50,200,17.0,1.7,74,1.0,0.012931000127793624
0.0075,50,20,17.0,1.7,100,1.0,0.013366662365522024
0.0075,50,20,17.0,1.7,74,1.0,0.013102550041129696
0.0075,50,3000,17.0,1.7,100,1.0,0.011434389264342973
0.0075,50,3000,17.0,1.7,74,1.0,0.01114792794424724
0.0075,50,400,17.0,1.7,100,1.0,0.012580407748512074
0.0075,50,400,17.0,1.7,74,1.0,0.012137481125626095
0.0075,50,40,17.0,1.7,100,1.0,0.013347657220277746
0.0075,50,40,17.0,1.7,74,1.0,0.013047018128083952
0.0075,50,4,17.0,1.7,100,1.0,0.013437911901804867
0.0075,50,4,17.0,1.7,74,1.0,0.013333536396989034
0.0075,50,5000,17.0,1.7,100,1.0,0.011450337908675947
0.0075,50,5000,17.0,1.7,74,1.0,0.011248815427544117
0.0075,50,8,17.0,1.7,100,1.0,0.013503017790609527
0.0075,50,8,17.0,1.7,74,1.0,0.013206136079117902
0.01,50,1000,17.0,1.7,100,1.0,0.012016809948547558
0.01,50,1000,17.0,1.7,74,1.0,0.01179417037743785
0.01,50,100,17.0,1.7,100,1.0,0.013484190067581735
0.01,50,100,17.0,1.7,74,1.0,0.013521992290198228
0.01,50,10,17.0,1.7,100,1.0,0.013966009129179504
0.01,50,10,17.0,1.7,74,1.0,0.01371630807941071
0.01,50,1500,17.0,1.7,100,1.0,0.011601637123179406
0.01,50,1500,17.0,1.7,74,1.0,0.011399520091515123
0.01,50,200,17.0,1.7,100,1.0,0.013277483507798513
0.01,50,200,17.0,1.7,74,1.0,0.013041602407979285
0.01,50,20,17.0,1.7,100,1.0,0.014141847449152405
0.01,50,20,17.0,1.7,74,1.0,0.013924704740895324
0.01,50,3000,17.0,1.7,100,1.0,0.011416072839884514
0.01,50,3000,17.0,1.7,74,1.0,0.01141204386671249
0.01,50,400,17.0,1.7,100,1.0,0.01292039065146212
0.01,50,400,17.0,1.7,74,1.0,0.01270980921528511
0.01,50,40,17.0,1.7,100,1.0,0.013861131631155342
0.01,50,40,17.0,1.7,74,1.0,0.013852858668936348
0.01,50,4,17.0,1.7,100,1.0,0.014215337344150713
0.01,50,4,17.0,1.7,74,1.0,0.013967096243487798
0.01,50,5000,17.0,1.7,100,1.0,0.011430374683462637
0.01,50,5000,17.0,1.7,74,1.0,0.011128922674931482
0.01,50,8,17.0,1.7,100,1.0,0.013916130905337182
0.01,50,8,17.0,1.7,74,1.0,0.013929179999181128
0.025,50,1000,17.0,1.7,100,1.0,0.013042824884272327
0.025,50,1000,17.0,1.7,74,1.0,0.012826116302123979
0.025,50,100,17.0,1.7,100,1.0,0.016917659962257456
0.025,50,100,17.0,1.7,74,1.0,0.017006876041424986
0.025,50,10,17.0,1.7,100,1.0,0.017675580251294377
0.025,50,10,17.0,1.7,74,1.0,0.017659111127102545
0.025,50,1500,17.0,1.7,100,1.0,0.012085311053404086
0.025,50,1500,17.0,1.7,74,1.0,0.011948953270958464
0.025,50,200,17.0,1.7,100,1.0,0.016190345005564606
0.025,50,200,17.0,1.7,74,1.0,0.01605386315163892
0.025,50,20,17.0,1.7,100,1.0,0.017752973435055403
0.025,50,20,17.0,1.7,74,1.0,0.01783048237750733
0.025,50,3000,17.0,1.7,100,1.0,0.011145749124985886
0.025,50,3000,17.0,1.7,74,1.0,0.01115995047066516
0.025,50,400,17.0,1.7,100,1.0,0.01493355054113776
0.025,50,400,17.0,1.7,74,1.0,0.014917044567716352
0.025,50,40,17.0,1.7,100,1.0,0.017340529685962676
0.025,50,40,17.0,1.7,74,1.0,0.017334339139465027
0.025,50,4,17.0,1.7,100,1.0,0.017950636300585493
0.025,50,4,17.0,1.7,74,1.0,0.017808759942778234
0.025,50,5000,17.0,1.7,100,1.0,0.011392517621251956
0.025,50,5000,17.0,1.7,74,1.0,0.011092290570443444
0.025,50,8,17.0,1.7,100,1.0,0.01786662849400797
0.025,50,8,17.0,1.7,74,1.0,0.017873201428807165
0.05,50,1000,17.0,1.7,100,1.0,0.013999225793964419
0.05,50,1000,17.0,1.7,74,1.0,0.013647070344452561
0.05,50,100,17.0,1.7,100,1.0,0.022338268359167083
0.05,50,100,17.0,1.7,74,1.0,0.022216108324327813
0.05,50,10,17.0,1.7,100,1.0,0.023996896724140713
0.05,50,10,17.0,1.7,74,1.0,0.02373010278967633
0.05,50,1500,17.0,1.7,100,1.0,0.012632113421184213
0.05,50,1500,17.0,1.7,74,1.0,0.01191814038475275
0.05,50,200,17.0,1.7,100,1.0,0.020540355489604673
0.05,50,200,17.0,1.7,74,1.0,0.020331734613231088
0.05,50,20,17.0,1.7,100,1.0,0.023196106388812723
0.05,50,20,17.0,1.7,74,1.0,0.023645723548536498
0.05,50,3000,17.0,1.7,100,1.0,0.011200767754318618
0.05,50,3000,17.0,1.7,74,1.0,0.010758755325546725
0.05,50,400,17.0,1.7,100,1.0,0.018234476362521977
0.05,50,400,17.0,1.7,74,1.0,0.017852050609111207
0.05,50,40,17.0,1.7,100,1.0,0.023314550234681205
0.05,50,40,17.0,1.7,74,1.0,0.023397870472565224
0.05,50,4,17.0,1.7,100,1.0,0.02399181115824449
0.05,50,4,17.0,1.7,74,1.0,0.0239065480318807
0.05,50,5000,17.0,1.7,100,1.0,0.011157997709640478
0.05,50,5000,17.0,1.7,74,1.0,0.010851332855599053
0.05,50,8,17.0,1.7,100,1.0,0.023740237745770092
0.05,50,8,17.0,1.7,74,1.0,0.023984753210305236
0.075,50,1000,17.0,1.7,100,1.0,0.01520196938660301
0.075,50,1000,17.0,1.7,74,1.0,0.01469848592027982
0.075,50,100,17.0,1.7,100,1.0,0.026964778464168778
0.075,50,100,17.0,1.7,74,1.0,0.026831703506738587
0.075,50,10,17.0,1.7,100,1.0,0.029351968580138388
0.075,50,10,17.0,1.7,74,1.0,0.029392438357300692
0.075,50,1500,17.0,1.7,100,1.0,0.013037900611300182
0.075,50,1500,17.0,1.7,74,1.0,0.012293225927607128
0.075,50,200,17.0,1.7,100,1.0,0.025091215987354636
0.075,50,200,17.0,1.7,74,1.0,0.02504057323505218
0.075,50,20,17.0,1.7,100,1.0,0.028983480378715787
0.075,50,20,17.0,1.7,74,1.0,0.029228107365787005
0.075,50,3000,17.0,1.7,100,1.0,0.010954139582896498
0.075,50,3000,17.0,1.7,74,1.0,0.010892786289179779
0.075,50,400,17.0,1.7,100,1.0,0.021557550928240778
0.075,50,400,17.0,1.7,74,1.0,0.02109534370370029
0.075,50,40,17.0,1.7,100,1.0,0.02862546976564138
0.075,50,40,17.0,1.7,74,1.0,0.028611653874601663
0.075,50,4,17.0,1.7,100,1.0,0.029408806593654736
0.075,50,4,17.0,1.7,74,1.0,0.02979102543128576
0.075,50,5000,17.0,1.7,100,1.0,0.01077248020129357
0.075,50,5000,17.0,1.7,74,1.0,0.010604174491293639
0.075,50,8,17.0,1.7,100,1.0,0.028839700640332908
0.075,50,8,17.0,1.7,74,1.0,0.029376746859972398
0.1,50,1000,17.0,1.7,100,1.0,0.016408626825359353
0.1,50,1000,17.0,1.7,74,1.0,0.01593021431221241
0.1,50,100,17.0,1.7,100,1.0,0.03190443247618363
0.1,50,100,17.0,1.7,74,1.0,0.031614279492987216
0.1,50,10,17.0,1.7,100,1.0,0.034356136242666674
0.1,50,10,17.0,1.7,74,1.0,0.03477476710453855
0.1,50,1500,17.0,1.7,100,1.0,0.013531177189074896
0.1,50,1500,17.0,1.7,74,1.0,0.01272129504392928
0.1,50,200,17.0,1.7,100,1.0,0.02904578226335029
0.1,50,200,17.0,1.7,74,1.0,0.028691816457869137
0.1,50,20,17.0,1.7,100,1.0,0.03375915007426806
0.1,50,20,17.0,1.7,74,1.0,0.03406622457044238
0.1,50,3000,17.0,1.7,100,1.0,0.010740272936953529
0.1,50,3000,17.0,1.7,74,1.0,0.010593699667966994
0.1,50,400,17.0,1.7,100,1.0,0.024627332698914497
0.1,50,400,17.0,1.7,74,1.0,0.02398169901357856
0.1,50,40,17.0,1.7,100,1.0,0.03390567296539974
0.1,50,40,17.0,1.7,74,1.0,0.033246901447719204
0.1,50,4,17.0,1.7,100,1.0,0.03455809404550513
0.1,50,4,17.0,1.7,74,1.0,0.03473015693801513
0.1,50,5000,17.0,1.7,100,1.0,0.010393238014102867
0.1,50,5000,17.0,1.7,74,1.0,0.01034039719534647
0.1,50,8,17.0,1.7,100,1.0,0.03478028971141763
0.1,50,8,17.0,1.7,74,1.0,0.03461540393508651
0.0001,66,1000,17.0,1.7,100,1.0,0.01197826739140954
