birth,deltactcf,clife,cof,sep,face,frip
0.0001,1000,150.0,15.0,100,1.0,0.005871138333333334
0.0001,100,150.0,15.0,100,1.0,0.0054819433333333336
0.0001,10,150.0,15.0,100,1.0,0.005372318333333333
0.0001,1500,150.0,15.0,100,1.0,0.005748235
0.0001,200,150.0,15.0,100,1.0,0.005711961666666667
0.0001,20,150.0,15.0,100,1.0,0.00594399
0.0001,400,150.0,15.0,100,1.0,0.005330893333333333
0.0001,40,150.0,15.0,100,1.0,0.005609206666666667
0.0001,4,150.0,15.0,100,1.0,0.0053344333333333336
0.0001,600,150.0,15.0,100,1.0,0.005508113333333333
0.0001,60,150.0,15.0,100,1.0,0.005575043333333333
0.0001,800,150.0,15.0,100,1.0,0.005626616666666666
0.0001,80,150.0,15.0,100,1.0,0.005417058333333333
0.0001,8,150.0,15.0,100,1.0,0.00531409
0.00025,1000,150.0,15.0,100,1.0,0.005853981666666667
0.00025,100,150.0,15.0,100,1.0,0.0056933466666666665
0.00025,10,150.0,15.0,100,1.0,0.0056657
0.00025,1500,150.0,15.0,100,1.0,0.0056151433333333335
0.00025,200,150.0,15.0,100,1.0,0.005514701666666667
0.00025,20,150.0,15.0,100,1.0,0.005318451666666666
0.00025,400,150.0,15.0,100,1.0,0.005538965
0.00025,40,150.0,15.0,100,1.0,0.005967886666666667
0.00025,4,150.0,15.0,100,1.0,0.005785971666666666
0.00025,600,150.0,15.0,100,1.0,0.005318048333333334
0.00025,60,150.0,15.0,100,1.0,0.005494111666666667
0.00025,800,150.0,15.0,100,1.0,0.005280593333333333
0.00025,80,150.0,15.0,100,1.0,0.0057210283333333336
0.00025,8,150.0,15.0,100,1.0,0.005905061666666667
0.0005,1000,150.0,15.0,100,1.0,0.005419263333333334
0.0005,100,150.0,15.0,100,1.0,0.0055051783333333335
0.0005,10,150.0,15.0,100,1.0,0.005441548333333333
0.0005,1500,150.0,15.0,100,1.0,0.005338
0.0005,200,150.0,15.0,100,1.0,0.00537116
0.0005,20,150.0,15.0,100,1.0,0.005675123333333333
0.0005,400,150.0,15.0,100,1.0,0.0050727333333333334
0.0005,40,150.0,15.0,100,1.0,0.005228338333333333
0.0005,4,150.0,15.0,100,1.0,0.005663753333333334
0.0005,600,150.0,15.0,100,1.0,0.005462161666666666
0.0005,60,150.0,15.0,100,1.0,0.005407158333333334
0.0005,800,150.0,15.0,100,1.0,0.005611611666666667
0.0005,80,150.0,15.0,100,1.0,0.005700053333333333
0.0005,8,150.0,15.0,100,1.0,0.005296726666666667
0.00075,1000,150.0,15.0,100,1.0,0.005758685
0.00075,100,150.0,15.0,100,1.0,0.005457446666666667
0.00075,10,150.0,15.0,100,1.0,0.005666765
0.00075,1500,150.0,15.0,100,1.0,0.005454496666666667
0.00075,200,150.0,15.0,100,1.0,0.005508996666666667
0.00075,20,150.0,15.0,100,1.0,0.005795623333333333
0.00075,400,150.0,15.0,100,1.0,0.0054102333333333336
0.00075,40,150.0,15.0,100,1.0,0.005489503333333333
0.00075,4,150.0,15.0,100,1.0,0.005402458333333334
0.00075,600,150.0,15.0,100,1.0,0.005611911666666667
0.00075,60,150.0,15.0,100,1.0,0.005675765
0.00075,800,150.0,15.0,100,1.0,0.005777583333333333
0.00075,80,150.0,15.0,100,1.0,0.005459246666666666
0.00075,8,150.0,15.0,100,1.0,0.005667441666666667
0.001,1000,150.0,15.0,100,1.0,0.005447941666666667
0.001,100,150.0,15.0,100,1.0,0.00561566
0.001,10,150.0,15.0,100,1.0,0.004991893333333333
